ESGBERT/EnvRoBERTa-environmental_label,climatebert/environmental-claims_label,climatebert/renewable_label,all,additional_information
1,1,0,2,"The project aims to promote the adoption of integrated and sustainable forest management measures through the sustainable use and marketing of Amazonian products, in relation to life systems, providing added value and better access to the forest products market, including fair trade and other goods and services  that can offer a well-managed forest. 
The Project will strengthen the sustainable family economy of the Amazonian communities, promote organizational strengthening, commercialization and capacity building to ensure the inclusion of a sustainable production system and the self-management of economic organizations. The initiative will be implemented through the establishment of an Expert Fund."
0,0,0,0,"Strenghtening rural development and food security in rural and peri-urban areas of Cochabamba, promoting the use of healthy food in the capital city of the department"
0,1,0,1,Empowering women through the agribusiness and sustainable tourism sector
1,0,0,1,The project involves the construction of a water tank (qhotas) occupying 6000 square meters. The aim is to improve the rural living conditions that families conduct by facing the typical natural phenomena of the area that create climatic instability. This intervention on nature and adequate training for beneficiaries will improve the conditions of the environment by rebalancing the ecosystem.
1,0,0,1,"The project plans to improve agricultural conditions and afforest the most inhabited areas, build and start the growth of a forest nursery that can produce 15,000 seedlings annually, plant 10,000 seedlings of different species of plants and distribute them annually to about 350 families."
0,0,0,0,The iniative aims at the realization of the final project design and implementing drawings for the new ARS AEVI Museum in Sarajevo
0,0,0,0,"Training and support for women who carry out small-scale agricultural activities, to increase the production and quality of products intended for self-consumption and small-scale sales, contributing to the increase in women's income with products and tools consistent with family farming."
0,0,0,0,"The Family Garden project is aimed at people who are already engaged in agriculture for their own needs and small-scale sales. The aim is to improve quality and productivity through learned agricultural techniques in collective workshops and field visits. This positive experience also has a major impact on the forms of socialization and cooperation of women who joined the project, who will be able to continue to use the learned knowledge independently."
0,0,0,0,Supporting the farming community across the hill and mountain areas by providing them with technical support and training in the livestock sector
0,0,0,0,The overall objective of the proposed technical cooperation assignment is to assist Republika Srpska Motorways improve the efficiency and effectiveness of its Quality Management System and obtain ISO 9001 certification for the first phase of ISO 9001 implementation
1,0,1,2,"Setup a local unit aimed at implementing research, industrial development and assembly of photovoltaic modules components in order to increase market competitiveness, improving the development of local technical skills."
0,0,0,0,Strengthen the monitoring system (GIS) of social-environmental conflicts of Bacia and Vale do Iguape; enhance the impact and influence of the Quilombola Council; improving the skills and organization of women; encourage the discussion and the achievement of the quilombola land rights.
0,0,0,0,"Activities in support of agriculture, training, in Jenipapo, municipality of Sapeaçu - Bahia State"
0,0,0,0,"Volunteer exchange programmes to foster intercultural dialogue, to provide training opportunities and to encourage the sharing of good practice"
0,0,0,0,Non formal education: recreational activities addressed to disadvantage children and youth
0,0,0,0,"Psychological support, art therapy and pedagogical activities."
0,0,0,0,"Self-support and economic autonomy of indigenous women and families through the TUCUM project, a palm fiber. The project provides in detail artisan training activities for 60 women and 40 indigenous young people in two stages of two months for each group concerning the sowing, harvesting, spinning and weaving and sewing of the fiber and the marketing of finished products."
1,0,0,1,"Supply of drinking water, sanitation and training to 865 families who live in 16 communities in the Pesquerira area and who live in disaster houses, difficult to reach and in an area subject to drought periods. The project involves the construction of 110 cisterns to take rainwater, update staff through training courses to improve the quality of life of people and the community, the reconstruction of 20 dwelling roofs (the houses have thatched roofs), the construction of toilets."
1,1,0,2,"Technical training of 30 indigenous students from different villages through the education of environmentally friendly agriculture, which incorporates modern techniques and the use of the land (agrogeology). Adoption of traditional and cultural forms of Guajajara which strengthen the emotional relationship with the earth and living beings. Support to the various villages through their young people, viable alternatives to produce necessary food and income generation to solve social problems such as drugs, alcohol."
1,0,1,2,The project involves the purchase and installation of a photovoltaic system for a reception house due to the very high costs for electricity. The structure currently hosts about twenty people and implements a recovery program characterized by a work-based experience of community life.
0,1,0,1,"The project is to promote the use of sustainable techniques and practices through the cultivation, processing and marketing at community level of the mandioca with the aim of promoting the economic autonomy of 3 small communities in the municipality of Silvania: Sao Joäo de DEus, Santa Rita and Boa vista dos Macaos. Each community will use 2 hectares of land."
1,0,0,1,"The project involves the purchase of seeds and machinery (estufa) for the treatment of seeds and fertilizers. The objective is the creation of collective agricultural work opportunities, in particular 4 agroecological courtyards, with the aim of improving the nutrition of the natives and allowing them a minimum of marketing of what is left over."
0,0,0,0,Research activity in Industrial Engineering
0,0,0,0,"Research activity in Microbiology, Immunology and Parasitology"
0,0,0,0,Research activity in Political Sciences
0,0,0,0,Scientific collaboration for reasarch activities in the field of mathematics / computer science
0,0,0,0,Research activity in Industrial Metallurgy
0,0,0,0,Support for the organization and teaching of the II level Master on rural innovation provided by the Faculty of Human Sciences of the Joseph Ki-Zerbo University of Ouagadougou
1,1,0,2,"The initiative aims to improve food security and climate change resilience capacity of vulnerable communities, located in the central and northern regions of the Sahel of Burkina Faso, and to promote social and gender equity"
0,0,0,0,"Coordination and organization of decentralized cooperation, with consequent rationalization of resources and increase the efficiency of cooperation on-site intervention."
0,0,0,0,Support the establishment and strengthening of services for young people of local counterparts in the partner country by transferring the experiences and best practices of Italian local authorities in particular by promoting the creation of job and business opportunities for young people and young people. 
1,0,0,1,drill a 60m well and installation of a Inox cistern; installation of 4000m of water pipes
1,1,0,2,"The project consists in two actions in Burkina Faso: 1. the literacy of women in rural villages; 2. training and organization of a group fo workers at the waste collection and disposal, to start the separation of waste collectionup"
1,1,0,2,"The project aims at contrubuting to the adoption of best practices for the management of waste, especially palstic, to develop a green economy."
1,1,0,2,The project -contribute to the adoption of CPD practices towards a green economy in Burkina Faso; -Political institutions and MSMEs have defined a CPD voluntary code of conduct for business
0,0,0,0,"The project has 3 main goals:the first is to support 5 hospitals under stress,only one with a paediatric ward and to reopen 3 health centres,the second is to organize advanced health points in the most dangerous areas that allow communities living in the isolated villages to receive regularly the visit of nurses and essential care for malnourished children, the third is to raise awareness of women on good practice in feeding infants and children, who are most at risk of developing malnutrition."
0,0,0,0,"Intervention against child malnutrition through (a) training sessions for beneficiaries (b) identification of malnourished pregnant women and children (c) provision of nutritional support (d) provision of health equipment and materials and building of two forages (e) awareness raising, information and involvement of local communities"
0,0,1,1,Purchase of a generator to ensure continuity of electricity distribution
1,0,0,1,The project involves the construction of a water well and sanitation facilities in favor of the multipurpose community training center in Diapaga.
1,0,0,1,"The project envisages the promotion of high nutritional value non-wood forestry products (PFNL) transformation chains managed by rural women's groups, which will be trained through public health programs to become animators of community health services in their villages (approximately 50 villages for around 4,000 children and 3,000 women). The aim of the project is to improve the nutrition of rural families, by raising awareness of acute and chronic childhood malnutrition and improving food safety."
0,0,0,0,Research activity in Archeology
0,0,0,0,Support the establishment and strengthening of services for young people of local counterparts in the partner country through the transfer of experiences and best practices of Italian local authorities in particular by promoting the creation of job and business opportunities for young people and young people
0,0,0,0,"Contribution in favor of SIOI for the project ""Master in Geopolitics and International Relations for diplomats of Burkina Faso""."
0,0,0,0,"The project aims to organize at the Parmaalimenta nutritional education centre a health service, available three times a week and addressed to mothers with malnourished children.A nurse will be at patient disposal to offer individual services using both a mobile app and a nutrition educational diary.The project plans also to support 50 of the mothers belonging to the nutritional centre and to ensure a path that can lead to a sustainable and lasting reduction of child malnutrition."
0,0,0,0,"Promote the strengthening of the cooperative's organizational and administrative capacities, increase the participation of the members in the life of the cooperative and in decision-making processes."
1,0,0,1,"The goal of the project is to support 80 producer organizations and 10 agricultural service centers (CRS) in 2 provinces to enhance agricultural production through training on the ability to exploit water reserves, the processing and marketing of products."
0,0,0,0,Strengthening food security in Burundi by improving the technical and management skills of producers and farmers' organisations in Ruyigi and Rutana Provinces
0,0,0,0,"Promotion of economic development through: training of local leaders and two service center trainers by undertaking a cooperative model as an example of a community society for local development and as a method for training through cooperative companies; training and accompaniment for the creation of cooperative companies for young people and women trained in sewing; training and reinforcement of two information and service centers; communication campaign on the principles of cooperativism and the advantages of cooperative societies, use of the web, TV and radio."
0,0,0,0,Activities addressed to  Cambodian women and fragile families
1,1,0,2,Educational support activities and promotion of health and the environmental protection in the community of the village Kompheim
0,0,0,0,"The project is aimed at increasing employment opportunities - especially for young people - in Cameroon through the implementation of innovative professional training tools and interaction with the professional school system and the Cameroon job market. The project is aimed specifically at students of vocational schools, teachers and trainers in the mechanical and electromechanical sectors."
1,0,0,1,Drilling of a well and installation of a water tank
0,0,0,0,"The overall objective is to improve the living conditions of refugees, internal refugees, returning population and host communities in the Logone et Chari, Mayo Tsanaga and Mayo Sava Departments (Far North of Cameroon Region). The planned activities are: 20 ""Didactic Agricultural Fields"", training courses and accompaniment for cooperatives/GIC/socio-economic aggregations dedicated to agriculture and breeding, creation of at least 2 Community Preschool Centers, rehabilitation of at least eight class rooms, start-up of about ten school vegetable gardens / farm fields, supply of didactic - logistical materials and basic school manuals to 30 schools, training courses for teachers and parents by paying attention to inclusion and protection of human rights, for the improvement of teaching methods and pedagogy, start up of 6 literacy centers for teenagers and women."
1,0,0,1,"The goal of the project is to improve access to water for 52 villages in the northern region of Cameroon, for a total of 15,000 families through the construction of 30 wells and rehabilitation of 22 water sites that are currently not functioning, creation of 52 Committees for Plant management and qualification of 1 specialist per village for well maintenance. Furthermore, an awareness of the local population in the hygienic and sanitary field is foreseen."
0,0,0,0,"The aim of the project is to improve the living conditions of the population through theoretical and practical training on the agricultural technical skills of local rural families. For students, teachers and operators in the agricultural sector, educational gardens for theoretical and practical learning will also be created, new structures will be renovated and built where new agricultural activities will be experimented through the implementation of micro-credit actions."
0,0,0,0,Research activity in Agriculture
0,0,0,0,"This program is a partnership  to capitalize and expand the wealth of experience, tools and methodologies for economic empowemwnt of women in local context."
0,0,0,0,Bekou Fund is a trust fund dedicated to supporting the socio-economic reconstruction process in the Central African Republic. The main objective is to support the resilience of vulnerable populations and to encourage the RCA stabilization process consistently through short-medium and long-term actions.
0,0,0,0,"The project was strongly desired by local authorities to respond to the urgent need to ensure sufficient quality of the intervention on Cultural Heritage in a country where heritage, although considered an important economic asset, is strongly at risk due to lack of maintenance and for the realization of inadequate interventions."
0,0,0,0,"Ensuring food safety and economic self-sufficiency to the poorest and politically emarginated nomadic communities from the Chinese government policies, district of Domda, county of Tringdu, Tibetan Autonomous Prefecture of Yushu, Qinghai, China. Selection of animals to purchase and genealogical characterization; Distribution of garments (sheep and mutton) to the beneficiaries of 7 villages; Renting and planting abandoned pastures to be given to the beneficiaries of the distribution of the animals; Distribution of hay to ensure the safety of the animals; Training courses on how to manage pastures and meadows (also seasonal and in conformity with the Tibetan tradition), on forage mowing techniques; Training on the use of mobile fences for vaccinations, on the main sheep diseases, on methods of genetic improvement of the herds; Provision of mobile fences, trucks for the transport of veterinary equipment and kits."
0,0,0,0,Research activity in Psychology of Education
1,0,0,1,"Research activity in Civil, Environmental and Architectural Engineering"
0,0,0,0,Research activity in Physics
0,0,0,0,Research activity in Biology
0,0,0,0,"Enhancement of bean production to improve the life of local farmers, destined for 37 families who suffered because of guerrilla warfare. The increase in production will have the immediate consequence of being able to market the product directly without the need for intermediaries, reducing costs, giving greater stability to the activities and contributing to the recovery of the social structure."
0,0,0,0,"Socio-economic development through the improvement of the organization skills of farmer families to strengthen agro-ecological and coffee production, improvement of production diversification processes, reinforcement of the skills of campesine organizations with training processes to make processes more dynamic of microcredit, in a country severely tested by the civil war."
1,0,0,1,"The project involves the construction of 6 tanks to be used for the community breeding of trout for the feeding and sale of the product, to support 180 people belonging to 30 indigenous families living in some Colombian paramos, very particular mountain ecosystems in the northern Andes, large natural hydro-geographical basins of extraordinary beauty but difficult to live."
