additional_information,ESGBERT/EnvRoBERTa-environmental_label,climatebert/environmental-claims_label,climatebert/renewable_label,all,relevant_for_the_environment,reason,id,year,reporting_party,recipient_country_region_project_programme,recipient,recipient_continent_or_region,assigned_geography,usd,euro,corrected_usd,status,funding_source,type_of_support,financial_instrument,sector,africa,latin_america_the_caribbean,north_america,middle_east,mediterranean,asia,europe,oceania,global,multicontinent_or_global,continent_unspecified
"small producers network for sustainable production of coffee, cocoa and quinoa in Ecuador",0,0,0,0,yes,"The project promotes sustainable production of crops, thus beneficial for the environment",1410,2018,italy,Ecuador / JUNTOS,ecuador,,latin america and the caribbean,283353.01,240000.0,283353.01,Committed,ODA,cross-cutting,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False
Out of the Street-Integrated program for child protection through creation of Gardens of the Road and CSO of Dagoretti  empowerment,0,0,0,0,unclear,Description is not clear enough to classify the project's relevance to the environment,1420,2018,italy,Burkina Faso / Out of the Street,burkina faso,,africa,270680.64,229266.5,270680.64,Committed,ODA,adaptation,Grant,Other (Government and civil society),True,False,False,False,False,False,False,False,False,False,False
Food security and resilience of vulnerable households in Burkina Faso,0,0,0,0,unclear,"The project aims to improve food security and resilience, which are environmental goals. However, the description does not provide enough details to confirm if it is an environmental project or green investment.",1421,2018,italy,Burkina Faso / Cultivating inclusion,burkina faso,,africa,270674.38,229261.2,270674.38,Committed,ODA,adaptation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
Community Action aimed at conservation of protected areas in Albania,1,1,0,2,yes,The project is about conservation of protected areas in Albania,1423,2018,italy,Albania / A.C.A.P.,albania,,europe,266405.67,225645.6,266405.67,Committed,ODA,mitigation,Grant,Other (Environment),False,False,False,False,False,False,True,False,False,False,False
"Building on the results of Phase I of the “Supporting the development of Industrial zones in Lebanon” project, the proposed project phase II aims at continuing the assistance to the country and the Ministry of Industry in establishing modern industrial zones in Lebanon.  The project will be tasked to:

- Provide technical assistance and advisory support to the Government of Lebanon in implementing the master-plans designed during phase I of the project and in deploying a National Industrial Zones development strategy,

- Enhance the capacity of the government of Lebanon on industrial zones development and management.

The Ministry of Industry of Lebanon has identified the development of modern business infrastructures as a catalyst to improve the country’s business environment and investment climate, as well as the competitiveness of its enterprises. Industrial zones can indeed offer a combination of developed land, infrastructure and services that allow businesses the long-term assurance to conduct operations in a stable and conducive environment.",0,0,0,0,yes,"The project aims to establish modern industrial zones which can contribute to the development of infrastructure and services for businesses, promoting a stable and conducive environment for operations.",1443,2018,italy,Lebanon / Supporting the development of Industrial zones in Lebanon,lebanon,,asia,236127.51,200000.0,236127.51,Committed,ODA,cross-cutting,Grant,Industry,False,False,False,False,False,True,False,False,False,False,False
"Aj Quen Guatemala, an association of indigenous women, must be converted: from textile crafts to organic farming. Starting up of the production of compost, avocados, baby organic bananas and vegetables is planned (with certification of organic production), and sale internally and abroad. Demand is channelled by Ctm Agrofair. The supplies come from 18 basic associations – 550 people. Sales of 20 t of avocados a week (for export), and 3 t of compost and 15 t of vegetables a month are expected.",1,0,0,1,yes,"The project involves the production of organic compost and farming of avocados, baby organic bananas, and vegetables using organic methods. These activities are typically considered environmentally friendly.",1498,2018,italy,Brazil / Aj Quen Guatemala,"guatemala, brazil",,latin america and the caribbean,166492.21,141018.9,166492.21,Committed,ODA,cross-cutting,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False
"The present initiative is building up on the success of the first three phases of the project ""Community Empowerment and Livelihoods Enhancement Project (CELEP)"", implemented by UNIDO and financed by the Italian Cooperation and will support the agro-industrial sector above all through the enhancement of aspects like innovation and creativity. Through the three phases of the CELEP, 68 MSMEs and 20 agricultural cooperatives were rectly supported by specialized equipment, civil works and capacity building development and more than 2000 Households benefited indirectly from the project activities. The initiatives supported the beneficiaries to cope with the crisis and training unemployed affected communities on market oriented professional skills in technical sectors.",0,0,0,0,unclear,"Project describes support for MSMEs and agricultural cooperatives in the agro-industrial sector with capacity building and equipment, which does not indicate negative or positive environmental impact.",1499,2018,italy,Lebanon / Community Empowerment and Livelihoods Enhancement Project (CELEP),lebanon,,asia,165289.26,140000.0,165289.26,Committed,ODA,cross-cutting,Grant,Agriculture,False,False,False,False,False,True,False,False,False,False,False
"The present initiative is building up on the success of the first three phases of the project ""Community Empowerment and Livelihoods Enhancement Project (CELEP)"", implemented by UNIDO and financed by the Italian Cooperation and will support the agro-industrial sector above all through the enhancement of aspects like innovation and creativity. Through the three phases of the CELEP, 68 MSMEs and 20 agricultural cooperatives were rectly supported by specialized equipment, civil works and capacity building development and more than 2000 Households benefited indirectly from the project activities. The initiatives supported the beneficiaries to cope with the crisis and training unemployed affected communities on market oriented professional skills in technical sectors.",0,0,0,0,unclear,"Project describes support for MSMEs and agricultural cooperatives in the agro-industrial sector with capacity building and equipment, which does not indicate negative or positive environmental impact.",2953,2019,italy,Lebanon / Strengthening job creation and creativity in the agro-food sector in Lebanon through technology transfer and skills training,lebanon,,asia,134376.0,120000.0,134376.0,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False
"from a subsistence activity to a business providing income, with the introduction of multiannual crops.  Fruit-growing training for 750 small Ugandan farmers in the West-Nile (each with a 2500 m² lot); supplying of a basic kit to set up a fruit nursery and support with visits in the field. Presence of a network of local technicians guaranteeing support in the field and planning of agricultural development, in agreement with local administrations.",0,0,0,0,yes,"Introducing multiannual crops, providing income training, supplying of a kit and support for fruit nurseries, local technicians supporting agricultural development.",1506,2018,italy,Uganda / Modernising agriculture,uganda,,africa,159416.29,135025.6,159416.29,Committed,ODA,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False
"The project aims at supporting the protection of Mrauk-U heritage site in Rakhine State. The project strategy, identified by UNESCO inpartnership with AICS Yangon, intends to sustain the Myanmar authorities in enhancing the heritage values and strengthen the conservation of the Mrauk-U monuments while addressing the common challenges linked to the development pressure. In order to tackle these issues, the Project aims to build the capacity of relevant stakeholders in both management and community engagement. In addition, the Project also focuses on further research which will contribute to a better understanding of the site values.",1,0,0,1,unclear,"The project aims to protect and conserve a cultural heritage site, with a focus on management, community engagement, and research.",1519,2018,italy,Myanmar / protection of Mrauk-U heritage site in Rakhine State,myanmar,,asia,141676.51,120000.0,141676.51,Committed,ODA,cross-cutting,Grant,Other (Environment),False,False,False,False,False,True,False,False,False,False,False
"The project is to set up a training centre, to train human resources on conservation and management of archaeological and cultural heritage sites. These professionals will ensure the proper management of archaeological sites and the protection and enhancement of the Vietnamese cultural heritage. Over the 30 months of project implementation, several training courses will be conducted: two for fresh university graduates, young civil servants and young professionals; two for workers on archaeology and architectural restoration; one for the future teachers.",1,0,0,1,unclear,"The project is about setting up a training center for cultural heritage protection which is a form of cultural preservation and not directly related to environmental protection. However, cultural preservation can have indirect environmental benefits by preserving traditional building techniques that may have less environmental impact.",1559,2018,italy,Viet Nam / Training on conservation and management of archaeological and cultural heritage sites,viet nam,,asia,105475.94,89338.12,105475.94,Committed,ODA,cross-cutting,Grant,Other (Education),False,False,False,False,False,True,False,False,False,False,False
"The Action intends to capitalize on the research, training and communication results of the AMITIE project (Awareness raising on MIgrations, developmenT and human rIghts through local partnErships) and on the successful experiences of development cooperation between European and African cities, to ensure the commitment of European local governments and to strengthen the European citizens' engagement in the post-2015 development agenda, through informal/non-formal education and participatory visibility actions. The focus on the migration and development nexus and on partners’ experiences of cooperation between Europe and Africa intends to ensure the Action’s effectiveness by linking the development objectives to the visible causes and consequences of migrations, such as climate change, human rights concerns or the demographic change in European cities.",1,0,0,1,unclear,"The project focuses on awareness raising, training and communication in the context of migration, human rights and development. While it does touch upon environmental issues such as climate change, it is not the primary focus of the project. Therefore, it is not possible to clearly classify it as an environmental project.",1571,2018,italy,"Other (Developing countries) / AMITIE project (Awareness raising on MIgrations, developmenT and human rIghts through local partnErships) ",,developing countries,continent_unspecified,91690.13,77661.54,91690.13,Committed,ODA,cross-cutting,Grant,Other (Government and civil society),False,False,False,False,False,False,False,False,False,False,True
The International School on Nuclear Security takes place annually in Trieste/Italy provides young professionals from developing countries with in-depth knowledge on the relevant international legal framework; instruments for physical protection of nuclear facilities and methods for threat and risk assessment. A training initiative launched by Italy with the IAEA and the Trieste ICTP,0,0,0,0,unclear,"The project is about providing training on nuclear security, which can be related to safety and security of nuclear materials and facilities. However, it's not clear from the description if the project includes any environmental aspects such as radiation protection, waste management or non-proliferation.",1579,2018,italy,Other (Developing countries) / Scholarships for  International School on Nuclear Security,,developing countries,continent_unspecified,85005.9,72000.0,85005.9,Committed,ODA,cross-cutting,Grant,Energy,False,False,False,False,False,False,False,False,False,False,True
" The building will be able to protect the 425 students who take advantage of the playing space from solar irradiation, as well as guaranteeing the construction of a court that can be used for multi-purpose uses.",1,0,1,2,yes,"The project involves the construction of a building for multi-purpose uses that will protect students from solar irradiation. This suggests the use of materials that can reduce the impact of solar radiation, which can be considered as a positive step towards environmental sustainability.",1585,2018,italy,Ecuador / Project for the construction of a roof covering for the sports field belonging to the college of Our Lady of the Rosary.,ecuador,,latin america and the caribbean,81602.13,69117.0,81602.13,Committed,ODA,mitigation,Grant,Other (Government and civil society),False,True,False,False,False,False,False,False,False,False,False
"The project increases food safety and access to water, both for consumption by inhabitants and for irrigation, using sustainable methods and technology in line with requirements, in association with local players.",1,1,0,2,yes,"The project's activities include increasing food safety and access to water using sustainable methods and technology, which are beneficial for the environment.",1622,2018,italy,"Uganda / In the Koboko district, in the province of Lobule in Uganda, the project intends to improve reception of the Congolese refugee community and integration with the host communities, in the context of the policy promoted by the Ugandan government. ",uganda,,africa,59031.88,50000.0,59031.88,Committed,ODA,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
" The creation of models will be the task of schools, with exercises and planting of small plants.",1,0,1,2,yes,"The project description includes the creation of models and planting of small plants, which can be interpreted as an environmental project, likely related to environmental education and conservation.",1638,2018,italy,"Somalia / The project allows refugees in 4 camps close to the Ayuub village for orphans in the Merca area of Somalia to support themselves, at least in part, by expanding cultivation of Prosopis juliflora, which produces grazing and fodder, creating models for the rearing of goats.",somalia,,africa,56073.67,47494.4,56073.67,Committed,ODA,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
Over 60.000 street children and 22.000 minor refugees live in Nairobi urban area. ,0,0,0,0,unclear,"Project description is focused on social issues and does not mention environmental aspects, making it hard to determine any environmental impact.",1643,2018,italy,"Kenya / The project protects and assists street kids and children  through an individually structured social-psichological pathway, aimed at their educational reintegration, professonal training and re-homing in their families.",kenya,,africa,54354.19,46038.0,54354.19,Committed,ODA,cross-cutting,Grant,Other (Government and civil society),True,False,False,False,False,False,False,False,False,False,False
A campaign to sensitize the local population to health education and water diseases will also be promoted.,1,0,0,1,unclear,"The project description mentions health education and water diseases, but does not include any information about environmental impact or green investments. Thus, the project's relevance for the environment is unclear.",1675,2018,italy,Cameroon / The project concerns the construction of 8 wells and six blocks for toilets in the central Cameroon region in the Esse district. ,cameroon,,africa,43340.73,36709.6,43340.73,Committed,ODA,cross-cutting,Grant,Water and Sanitation,True,False,False,False,False,False,False,False,False,False,False
"Specifically, provide the community with the opportunity to have a good service of drinking water and strengthen the bonds of the families of the Caundy community, involved in the realization of this project (110 families 660 people in the district)",1,0,0,1,unclear,"Project description focuses on providing water services to a community and strengthening family bonds, with no mention of environmental impact.",1702,2018,italy,"Paraguay / The Jose Cardijn Foundation presents the project to support and improve the conditions and quality of families in the Felix Perez Cardozo District, Compania Caundy. ",paraguay,,latin america and the caribbean,38384.42,32511.6,38384.42,Committed,ODA,cross-cutting,Grant,Water and Sanitation,False,True,False,False,False,False,False,False,False,False,False
The project is part of a global demographic and epidemiological landscape dominated by a rapid growth in the incidence of chronic diseases. ,0,0,0,0,unclear,"Project description focuses on public health and chronic diseases, no explicit environmental impact mentioned.",1706,2018,italy,Brazil / The initiative aims to promote the acquisition of organizational and management skills for the implementation of an Intermediary Care Unit within the Municipal Hospital Carlos Tortelly of Niterói starting from the Emilia-Romagna Region model,brazil,,latin america and the caribbean,37780.4,32000.0,37780.4,Committed,ODA,cross-cutting,Grant,Other (Health),False,True,False,False,False,False,False,False,False,False,False
"the project intends to strengthen the capacities of Tunisian, Moroccan and Emilia-Romagna local authorities and civil society in the areas listed above.",0,0,0,0,unclear,description provides a general intention to strengthen capacities but lacks specifics on the 'areas listed above',1711,2018,italy,"Tunisia / Tabarka, El Kef and Jendouba in Tunisia; Meknes, Oujda and Tangeri in Morocco - Support for a pilot project with high demonstration value, to support local-urban, economic and inclusive development actions, giving priority to measures to support social and solidarity-related activities. ","morocco, tunisia",,africa,36902.48,31256.4,36902.48,Committed,ODA,cross-cutting,Grant,Other (Finance),True,False,False,False,False,False,False,False,False,False,False
"The project aims to draft a comprehensive feasibility study for the closure of the informal dumpsite and construction of an integrated solid waste management facility in Ngong Town, Kenya",1,1,0,2,yes,"The project aims to manage solid waste in a responsible way, reducing illegal dumping and promoting recycling, which has a positive impact on the environment.",1750,2018,italy,"Kenya / Comprehensive feasibility study  in Ngong Town, Kenya. ",kenya,,africa,30269.34,25638.13,30269.34,Committed,ODA,cross-cutting,Grant,Water and Sanitation,True,False,False,False,False,False,False,False,False,False,False
"The project aims at implementing the comprehensive feasibility study for the closure of the informal dumpsite and construction of an integrated sustainable waste management facility in Kajiado County, Kenya. ",1,1,0,2,yes,"The project aims to close an informal dumpsite and construct a sustainable waste management facility, which are environmental improvements.",1763,2018,italy,"Kenya /  Comprehensive feasibility study in Ngong Town, Kenya - UN-Habitat . ",kenya,,africa,29279.81,24800.0,29279.81,Committed,ODA,cross-cutting,Grant,Water and Sanitation,True,False,False,False,False,False,False,False,False,False,False
"Through this project, we also support activities aimed at developing economic and tourism partners in a rural area with strong emigration of youth.",0,0,0,0,unclear,The project description does not provide sufficient information to determine if it is related to the environment.,1798,2018,italy,"Lebanon / The project supports the protection of the Valley of Qadisha (1988 UNESCO World Heritage), the promotion of networking activities, the  conservation and restoration of cultural and religious sites, the development of sustainable tourism. ",lebanon,,asia,24793.39,21000.0,24793.39,Committed,ODA,cross-cutting,Grant,Other (Environment),False,False,False,False,False,True,False,False,False,False,False
"Through this project, we also support activities aimed at developing economic and tourism partners in a rural area with strong emigration of youth.",0,0,0,0,unclear,The project description does not provide sufficient information to determine if it is related to the environment.,39111,2017,italy,"Lebanon / The project supports the protection of the Valley of Qadisha (1988 UNESCO World Heritage), the promotion of networking activities, the  conservation and restoration of cultural and religious sites, the development of sustainable tourism. ",lebanon,,asia,225479.14,200000.0,225479.14,Committed,ODA,cross-cutting,Grant,Other (Site preservation),False,False,False,False,False,True,False,False,False,False,False
" Furthermore, the launch of low-cost urban gardens and the production of honey and the breeding of goats and poultry will help the population to eat better and live in harmony with nature and with what it can derive from it.",1,0,0,1,yes,"Project description includes the creation of urban gardens, production of honey, breeding of goats and poultry which are activities beneficial to the environment.",1881,2018,italy,"India / The project is aimed at the development of the rural population and aims at the renewal of agricultural techniques and livestock breeding, the development of soil quality, training and capacity development to be used in agriculture and farm maintenance.",india,,asia,19636.84,16632.4,19636.84,Committed,ODA,cross-cutting,Grant,Agriculture,False,False,False,False,False,True,False,False,False,False,False
The final goal consists in enabling beneficiary NRAs to properly assess the market integration design proposal that will be submitted by the Transmission System Operators and Power Exchanges (PXs) of each involved country.  ,0,0,0,0,unclear,"The project describes a capacity building project for NRAs and PXs, with no mention of environmental impacts or considerations",1901,2018,italy,"Eastern Europe / The project aims at transferring to the beneficiary National Regulatory Authorities (NRAs) of Albania, Montenegro and Serbia knowledge on the process of market integration and on operational functioning of an integrated electricity market. ","serbia, albania, montenegro",,europe,18821.72,15942.0,18821.72,Committed,ODA,cross-cutting,Grant,Energy,False,False,False,False,False,False,True,False,False,False,False
The final goal consists in enabling beneficiary NRAs to properly assess the market integration design proposal that will be submitted by the Transmission System Operators and Power Exchanges (PXs) of each involved country.  ,0,0,0,0,unclear,"The project describes a capacity building project for NRAs and PXs, with no mention of environmental impacts or considerations",39355,2017,italy,"Eastern Europe / The project aims at transferring to the beneficiary National Regulatory Authorities (NRAs) of Albania, Montenegro and Serbia knowledge on the process of market integration and on operational functioning of an integrated electricity market. ","serbia, albania, montenegro",,europe,14241.26,12632.0,14241.26,Committed,ODA,cross-cutting,Grant,Energy,False,False,False,False,False,False,True,False,False,False,False
"The Project will strengthen the sustainable family economy of the Amazonian communities, promote organizational strengthening, commercialization and capacity building to ensure the inclusion of a sustainable production system and the self-management of economic organizations. The initiative will be implemented through the establishment of an Expert Fund.",0,1,0,1,unclear,"The project promotes sustainable family economy and capacity building for a sustainable production system, which are environmental-friendly. However, the description is not entirely clear about its impact on the environment.",2030,2018,italy,"Bolivia / The project aims to promote the adoption of integrated and sustainable forest management measures through the sustainable use and marketing of Amazonian products, in relation to life systems, providing added value and better access to the forest products market, including fair trade and other goods and services  that can offer a well-managed forest. 
","bolivia, plurinational state of",,latin america and the caribbean,11334.12,9600.0,11334.12,Committed,ODA,cross-cutting,Grant,Other (Food Security Assistance),False,True,False,False,False,False,False,False,False,False,False
The local catholic mission will grant use of some of its buildings as storing and processing sites and as laboratories for training classes. ,0,0,0,0,unclear,"The project description is related to providing facilities for training and storage, but it does not contain any information about the environmental impact of the project.",2077,2018,italy,"Democratic Republic of the Congo / The project’s objectives are: training villagers on the best agricultural and  breeding practices and helping create rural cooperatives supported by micro-financing, with special focus on women; starting up a fish breeding plant; building cattlesheds and henhouses; purchasing farm animals, seeds, horticultural tools and plants. ",congo,,africa,9445.1,8000.0,9445.1,Committed,ODA,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False
