additional_information,ESGBERT/EnvRoBERTa-environmental_label,climatebert/environmental-claims_label,climatebert/renewable_label,all,relevant_for_the_environment,reason,id,year,reporting_party,recipient_country_region_project_programme,recipient,recipient_continent_or_region,assigned_geography,usd,euro,corrected_usd,status,funding_source,type_of_support,financial_instrument,sector,africa,latin_america_the_caribbean,north_america,middle_east,mediterranean,asia,europe,oceania,global,multicontinent_or_global,continent_unspecified
"These agreements promote the exchange of faculty, students, technical and administrative staff in a specific field of study and research, and other types of collaboration.",0,0,0,0,no,"Description focuses on academic collaboration, no explicit environmental focus",40694,2016,italy,India / India / Asia (South & Central Asia) / Cultural agreement between UNIFI  and  Chandigarh  University  ,india,,asia,729.85,660.0,729.85,Committed,ODA,cross-cutting,Grant,Other (Education post-secondary),False,False,False,False,False,True,False,False,False,False,False
"These agreements promote the exchange of faculty, students, technical and administrative staff in a specific field of study and research, and other types of collaboration.",0,0,0,0,no,"Description focuses on academic collaboration, no explicit environmental focus",40712,2016,italy,Brazil / Brazil / America (South America) / Cultural agreement between UNIFI  and   Universidade Federal de Vicosa  ,brazil,,latin america and the caribbean,442.33,400.0,442.33,Committed,ODA,cross-cutting,Grant,Other (Education post-secondary),False,True,False,False,False,False,False,False,False,False,False
"These agreements promote the exchange of faculty, students, technical and administrative staff in a specific field of study and research, and other types of collaboration.",0,0,0,0,no,"Description focuses on academic collaboration, no explicit environmental focus",40713,2016,italy,Costa Rica / Costa Rica / America (North & Central America) / Cultural agreement between UNIFI (Dip. DST) and Universidad Nacional Costa Rica ,costa rica,,latin america and the caribbean,884.66,800.0,884.66,Committed,ODA,cross-cutting,Grant,Other (Education post-secondary),False,True,False,False,False,False,False,False,False,False,False
"These agreements promote the exchange of faculty, students, technical and administrative staff in a specific field of study and research, and other types of collaboration.",0,0,0,0,no,"Description focuses on academic collaboration, no explicit environmental focus",40720,2016,italy,Myanmar / Myanmar / Asia (South & Central Asia) / Cultural agreement between UNIFI  and   Myanmar University  ,myanmar,,asia,1326.99,1200.0,1326.99,Committed,ODA,mitigation,Grant,Other (Education post-secondary),False,False,False,False,False,True,False,False,False,False,False
"These agreements promote the exchange of faculty, students, technical and administrative staff in a specific field of study and research, and other types of collaboration.",0,0,0,0,no,"Description focuses on academic collaboration, no explicit environmental focus",40721,2016,italy,Brazil / Brazil / America (South America) / Cultural agreement between UNIFI  and  Universidade Federal Rural de Pernambuco  ,brazil,,latin america and the caribbean,442.33,400.0,442.33,Committed,ODA,mitigation,Grant,Other (Education post-secondary),False,True,False,False,False,False,False,False,False,False,False
"These agreements promote the exchange of faculty, students, technical and administrative staff in a specific field of study and research, and other types of collaboration.",0,0,0,0,no,"Description focuses on academic collaboration, no explicit environmental focus",40722,2016,italy,Costa Rica / Costa Rica / America (North & Central America) / Cultural agreement between UNIFI (Dip. DISEI) and Universidad Nacional Costa Rica ,costa rica,,latin america and the caribbean,900.59,814.4,900.59,Committed,ODA,mitigation,Grant,Other (Education post-secondary),False,True,False,False,False,False,False,False,False,False,False
"The goal of the project is to promote the empowerment of the people with psychic disability enabling them to autonomously live a dignified life. (S.O.) Through the implementation of the activities the psychic disabled will be followed in a process of rehabilitation, professional training, and re-integration in an aware society. Beginning with the needs identification of the person with psychic disability we will offer the most appropriate services and a rehabilitation path aimed to improve the capabilities and professional skills supporting the economic and social re-integration. Concerning the services, the partners will work to strengthen the public intervention system for people in condition of exclusions and with psychic disability in the District of Tirana, through the creation of a daily rehabilitation centre. (RA1) In the centre, an help desk for counselling and social secretariat will advise people in need to the existent services. In parallel, it will be organized an outreach street service to reach people in particular condition of need. In order to foster the social re-integration, the inclusion of young and adults with psychic disability will be improved, trough the predisposition of customised pathways of social re-integration. (RA2) The partners will work with the Mental Health Centres in order to identify the people with psychic disability who need a re-integration path and to draft the mental health plans. These paths will focus on the individual in any condition and will encourage selfdetermination, solidarity, possibility of positive change, selfacceptance, acceptance of the others, and of the external world, the sense of initiative and finally the independence, with a biopsychosocial perspective of the disability. The programs will support the empowerment of soft, cognitive, interpersonal and intrapersonal skills and capabilities. Moreover, the person with psychic disability will be followed in the path of re-inclusion in the family or in an autonomous residential context. In order to improve the employability of people with psychic disability (RA3) will be organized professional training courses and will be realized orientation interviews and workshop on how to write a CV. Additionally, will be created networks of organizations sensitive to the thematic of psychic disability. In order to reduce exclusion and social stigmatization of people with disability, we will work in order to raise awareness of the community and the local institutions to make them willing to develop inclusive cultures and practices in the society. (RA4) It will be organized an international conference, aimed to foster the exchange of best practices in the field of re-inclusion of disadvantaged people and an awareness-raising campaign in Tirana. Furthermore, paths of competent volunteering will be carried out to promote non-discrimination and an inclusive culture of the disability.",0,0,0,0,no,The project aims to empower people with psychic disabilities and promote their social and economic re-integration. It does not contain any environmental aspects or impacts.,2772,2019,italy,Albania / WE CAN DO IT: pathways of social inclusion and rights' promotion for people with psychic disability in Albania,albania,,europe,100678.98,89908.0,100678.98,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,False,True,False,False,False,False
"Overall objective is to strengthen the capacities of CSO's in Albania in promoting good governance of rural development, through capacity building and active participation. The specific objective is to promote rural civil society’s identification and implementation of concrete actions in Korçë County for a strong, good and citizen’s oriented model of rural development, supporting an active and competent society that also enables the participation of rural communities",0,0,0,0,no,"The project aims to strengthen civil society organizations in promoting good governance of rural development, which does not directly involve environmental conservation or degradation.",2774,2019,italy,Albania / Rural Korce. Capacity building and active participation of Albania CSO's to promote good governance of rural development. ,albania,,europe,589.01,526.0,589.01,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,False,True,False,False,False,False
"This project aims to create a synergy between sports activities and human rights. The right to movement for all: children, women, adults, disabled people, will be a tool for the acquisition of global citizenship.The Sport Ministry will promote quality sports services through the training of managers, educators and sports communicators. The training is organized in collaboration with the Sahrawi sports school and a first edition of a non-competitive walk for all Human Rights will be organized. ",0,0,0,0,no,"The project promotes human rights through sports, it does not include any environmental aspects in its description",2776,2019,italy,Algeria / Rights in the field,algeria,,africa,11198.0,10000.0,11198.0,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
Research activity in Mathematics,0,0,0,0,no,The project involves research in Mathematics,2781,2019,italy,Argentina / Staff scholarships in the framework of Bilateral Agreements between UniPD and PVS Institutions,argentina,,latin america and the caribbean,537.5,480.0,537.5,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,True,False,False,False,False,False,False,False,False,False
Research activity in Mathematics,0,0,0,0,no,The project involves research in Mathematics,2857,2019,italy,China (People's Republic of) / Staff scholarships in the framework of Bilateral Agreements between UniPD and PVS Institutions,china,,asia,1045.89,934.0,1045.89,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False
"Research activity in  Philosophy, Sociology, Education and Applied Psychology",0,0,0,0,no,"Project is related to social sciences and humanities, and does not involve environmental efforts or investments",2784,2019,italy,Argentina / Coimbra Group Scholarships,argentina,,latin america and the caribbean,1254.18,1120.0,1254.18,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,True,False,False,False,False,False,False,False,False,False
"Volunteer exchange programmes to foster intercultural dialogue, to provide training opportunities and to encourage the sharing of good practice",0,0,0,0,no,Project focuses on cultural exchange and skill sharing with no direct impact on the environment,2807,2019,italy,Brazil / Project Bea,brazil,,latin america and the caribbean,6718.8,6000.0,6718.8,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,True,False,False,False,False,False,False,False,False,False
"Psychological support, art therapy and pedagogical activities.",0,0,0,0,no,Project description is focused on psychological and artistic activities with no mention or relation to environmental conservation or sustainability,2809,2019,italy,Brazil / Aldeia Project (2nd Phase),brazil,,latin america and the caribbean,2239.6,2000.0,2239.6,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,True,False,False,False,False,False,False,False,False,False
"Self-support and economic autonomy of indigenous women and families through the TUCUM project, a palm fiber. The project provides in detail artisan training activities for 60 women and 40 indigenous young people in two stages of two months for each group concerning the sowing, harvesting, spinning and weaving and sewing of the fiber and the marketing of finished products.",0,0,0,0,no,"The project describes the use of fibers from a plant called Tucum, and does not mention any impact or involvement of the project with the environment, therefore it's classified as not relevant",2810,2019,italy,Brazil / TUCUM project - Cultural support and income generation for indigenous families,brazil,,latin america and the caribbean,39602.85,35366.0,39602.85,Committed,Oda,cross-cutting,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False
Research activity in Political Sciences,0,0,0,0,no,The project is a research activity in Political Sciences,2819,2019,italy,Brazil / Staff scholarships in the framework of Bilateral Agreements between UniPD and PVS Institutions,brazil,,latin america and the caribbean,690.69,616.8,690.69,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,True,False,False,False,False,False,False,False,False,False
Research activity in Political Sciences,0,0,0,0,no,The project is a research activity in Political Sciences,2822,2019,italy,Brazil / Visiting Scientist,brazil,,latin america and the caribbean,1567.72,1400.0,1567.72,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,True,False,False,False,False,False,False,False,False,False
Scientific collaboration for reasarch activities in the field of mathematics / computer science,0,0,0,0,no,The project involves research in mathematics and computer science,2820,2019,italy,Brazil / Leandro Dias Da Silva Visiting Professor from Universidade Federal de Alagoas (Brasile) hosted by the Department of Mathematics and Computer Science,brazil,,latin america and the caribbean,2709.92,2420.0,2709.92,Committed,Oda,adaptation,Grant,Water And Sanitation,False,True,False,False,False,False,False,False,False,False,False
"The project has 3 main goals:the first is to support 5 hospitals under stress,only one with a paediatric ward and to reopen 3 health centres,the second is to organize advanced health points in the most dangerous areas that allow communities living in the isolated villages to receive regularly the visit of nurses and essential care for malnourished children, the third is to raise awareness of women on good practice in feeding infants and children, who are most at risk of developing malnutrition.",0,0,0,0,no,"The project aims to improve healthcare access and education in communities, which does not directly address environmental concerns",2831,2019,italy,Burkina Faso / Fight against child malnutrition in northern Burkina Faso,burkina faso,,africa,10974.04,9800.0,10974.04,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
"Intervention against child malnutrition through (a) training sessions for beneficiaries (b) identification of malnourished pregnant women and children (c) provision of nutritional support (d) provision of health equipment and materials and building of two forages (e) awareness raising, information and involvement of local communities",0,0,0,0,no,"The project aims to improve child nutrition and health, which is not directly related to the environment.",2832,2019,italy,Burkina Faso / Malnutrition: From Awareness to Solution,burkina faso,,africa,6718.8,6000.0,6718.8,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
Research activity in Archeology,0,0,0,0,no,"The project involves archeological research, which typically does not have a significant impact on the environment.",2836,2019,italy,Burkina Faso / Staff scholarships in the framework of Bilateral Agreements between UniPD and PVS Institutions,burkina faso,,africa,291.15,260.0,291.15,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
"Contribution in favor of SIOI for the project ""Master in Geopolitics and International Relations for diplomats of Burkina Faso"".",0,0,0,0,no,"The project is related to education and diplomacy, with no apparent environmental focus.",2838,2019,italy,"Burkina Faso / Project ""Master in Geopolitics and International Relations for diplomats of Burkina Faso"".",burkina faso,,africa,10128.64,9045.04,10128.64,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
Strengthening food security in Burundi by improving the technical and management skills of producers and farmers' organisations in Ruyigi and Rutana Provinces,0,0,0,0,no,"The project aims to improve food security and technical skills of producers, which are not directly related to the environment.",2842,2019,italy,Burundi / Strengthening food security by improving the technical and management skills of producers and farmers' organisations,burundi,,africa,7558.65,6750.0,7558.65,Committed,Oda,mitigation,Grant,Energy,True,False,False,False,False,False,False,False,False,False,False
"Promotion of economic development through: training of local leaders and two service center trainers by undertaking a cooperative model as an example of a community society for local development and as a method for training through cooperative companies; training and accompaniment for the creation of cooperative companies for young people and women trained in sewing; training and reinforcement of two information and service centers; communication campaign on the principles of cooperativism and the advantages of cooperative societies, use of the web, TV and radio.",0,0,0,0,no,"The project promotes economic development through training in a cooperative model, creation of cooperative companies, and establishment of information and service centers. It also includes a communication campaign to promote the principles of cooperativism and the advantages of cooperative societies. This implies that the project is aimed at promoting a specific economic model, rather than addressing environmental concerns, and therefore is not relevant to the environment.",2843,2019,italy,Cabo Verde / Solidarity economy - cooperative model for supporting small agriculture,cabo verde,,africa,157027.31,140228.0,157027.31,Committed,Oda,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False
"The project is aimed at increasing employment opportunities - especially for young people - in Cameroon through the implementation of innovative professional training tools and interaction with the professional school system and the Cameroon job market. The project is aimed specifically at students of vocational schools, teachers and trainers in the mechanical and electromechanical sectors.",0,0,0,0,no,"The project is focused on workforce training and employment, with no mention of environmentally-friendly practices or technologies.",2846,2019,italy,Cameroon / Professional training in Cameroon,cameroon,,africa,16819.4,15020.0,16819.4,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
Bekou Fund is a trust fund dedicated to supporting the socio-economic reconstruction process in the Central African Republic. The main objective is to support the resilience of vulnerable populations and to encourage the RCA stabilization process consistently through short-medium and long-term actions.,0,0,0,0,no,"supports socio-economic reconstruction, does not contain any environmental focus",2853,2019,italy,Central African Republic / Contribution to the EU Trust Fund Bekou,central african republic,,africa,447920.0,400000.0,447920.0,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
"Enhancement of bean production to improve the life of local farmers, destined for 37 families who suffered because of guerrilla warfare. The increase in production will have the immediate consequence of being able to market the product directly without the need for intermediaries, reducing costs, giving greater stability to the activities and contributing to the recovery of the social structure.",0,0,0,0,no,"The project increases agricultural production using organic methods and reduces the need for intermediaries, leading to fewer greenhouse gas emissions and a more sustainable local economy. However, it lacks clear environmental benefits to be classified as a green investment project.",2862,2019,italy,Colombia / Sustainable entrepreneurship for reconciliation in the upper Guatiquía,colombia,,latin america and the caribbean,21335.55,19053.0,21335.55,Committed,Oda,cross-cutting,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False
"The project involves (a) the distribution of school supplies kits to 900 pupils; (b) training courses for teachers; (c) the construction of 4 school canteens; (d) annual check-ups, specialist medical examinations and supply of medical equipment; (e) the construction of 2 wells",0,0,0,0,no,"The project includes the distribution of school supplies, training courses for teachers, construction of school canteens, annual check-ups, and supply of medical equipment which are not directly related to environmental conservation.",2867,2019,italy,"Côte D'ivoire / ""Food For Education"" Support for School Cafeterias In 7 Schools in the Bounkani Region",côte d'ivoire,,africa,16019.24,14305.45,16019.24,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
"The initiative aims at contributing to Cuba's food security, by integrating and sustaining the national strategy for fruit value chains development. The project focuses on the avocado and pineapple value chains with the goal of meeting demand and strengthening the sector's cooperatives and publicenterprises. The initiative aims at improving the supply of fresh and processed fruit for the domestic market,the industry and the export, contributing to import reduction.",0,0,0,0,no,"The project focuses on developing fruit value chains, improving supply of fresh and processed fruit for domestic and export market, and strengthening cooperatives and public enterprises. No direct environmental benefits were mentioned.",2869,2019,italy,Cuba / Strengthening of pineapple and avocado supply,cuba,,latin america and the caribbean,1119800.0,1000000.0,1119800.0,Committed,Oda,cross-cutting,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False
"The project intends to contribute to the cultural and human development of the Cuban society by provide artists with an excellent academic preparation and a high social commitment. The project has two specific objectives, each related to a component. The first is to restore and strengthen the Facultad de Arte Teatral of the Instituto Superior de Arte to achieve a complete university education and support a process of continuous improvement in artistic creation and cultural management. The second objective is to contribute to the capacity building of those who work in the fields of documentation,conservation, management and enhancement of cultural heritage, both tangible -the ISA architectures and the territory of the Municipio de Playa - and intangible - theatrical arts - and the monitoring of all the interventions necessary to rehabilitate the building in order to guarantee its correct execution. The first component will involve the restoration, consolidation and adaptation of the Facultad de Arte Teatral of the Superior Institute of Art in Havana. The program will also focus on the educational offer and the relationships that the new Faculty will establish with the community and with other universities. The second component is focused on the acquisition and exchange of skills in architectural restoration and dramatic arts, as well as on the monitoring of the Faculty design and rehabilitation It is aimed at improving the knowledge of all those working within the university and professional system, through the realization of a series of theoretical / practical activities.",0,0,0,0,no,"The project describes cultural and human development, academic preparation, social commitment, artistic creation, cultural management, capacity building, documentation, conservation, management and enhancement of cultural heritage, architectural restoration, and educational offer. It does not contain any elements of environmental impact or sustainability.",2870,2019,italy,"Cuba / Do not let the curtain fall - Conservation, management and enhancement of the Faculty of Theatrical Arts",cuba,,latin america and the caribbean,89584.0,80000.0,89584.0,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,True,False,False,False,False,False,False,False,False,False
The program foresees as the main activity a scholarship program targeted at citizens of the priority countries for attending master's degree programs and doctoral programs,0,0,0,0,no,"The project describes a scholarship program for citizens of priority countries to attend higher education. This project is not related to environmental protection or green investment, so it is not an environmental project.",2883,2019,italy,"Developing countries, unspecified / Partnership for Knowledge",,"developing countries, unspecified",continent_unspecified,881657.96,787335.2,881657.96,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,False,False,False,False,False,True
"The project aims to assist Eritrean refugees in the Tigray region of Ethiopia, supporting local authorities. Targeted interventions are planned to ensure the registration of Eritrean children born in Ethiopia, health care for the treatment of some specific pathologies, an enhancement of primary education. Additional activities include assistance to people with specific needs, the supply of water in refugee camps and temporary accommodation solutions.",0,0,0,0,no,"The project's focus is on supporting refugees, providing healthcare, education, and basic needs such as water and accommodation, which are not directly related to environmental preservation or green investment.",2908,2019,italy,Ethiopia / Protection and assistance support to Eritrean refugees in the Tigray region,ethiopia,,africa,1343760.0,1200000.0,1343760.0,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
"The project aims at transferring to the beneficiary National Regulatory Authorities (NRAs) of Albania, Montenegro and Serbia knowledge on the process of market integration and on operational functioning of an integrated electricity market. The final goal consists in enabling beneficiary NRAs to properly assess the market integration design proposal that will be submitted by the Transmission System Operators and Power Exchanges (PXs) of each involved country.  ",0,0,0,0,no,"The project aims to transfer knowledge on market integration and operational functioning of an integrated electricity market, which does not contain any environmental aspect in the project description.",2912,2019,italy,"Europe, regional / CEI support for strengthening Energy Regulatory Authorities in the Western Balkans - Second phase","serbia, albania, montenegro",,europe,8925.7,7970.8,8925.7,Committed,Oda,cross-cutting,Grant,Energy,False,False,False,False,False,False,True,False,False,False,False
"The project aims at transferring to the beneficiary National Regulatory Authorities (NRAs) of Albania, Montenegro and Serbia knowledge on the process of market integration and on operational functioning of an integrated electricity market. The final goal consists in enabling beneficiary NRAs to properly assess the market integration design proposal that will be submitted by the Transmission System Operators and Power Exchanges (PXs) of each involved country.  ",0,0,0,0,no,"The project aims to transfer knowledge on market integration and operational functioning of an integrated electricity market, which does not contain any environmental aspect in the project description.",9165,2020,italy,"Europe, regional / CEI support for strengthening Energy Regulatory Authorities in the Western Balkans - Second phase","serbia, albania, montenegro",,europe,22537.37,19735.0,22537.37,Committed,Oda,cross-cutting,Grant,Energy,False,False,False,False,False,False,True,False,False,False,False
"The project aims at developing criteria for training and implementation of mine action activities in the fields of humanitarian demining, mine victim assistance and mine risk education in the Western Balkans",0,0,0,0,no,"The project focuses on humanitarian demining, victim assistance and risk education in the Western Balkans. It does not have a direct impact on the environment, as its primary goal is to reduce the risk of accidents caused by mines and to support the affected population. However, the project may indirectly benefit the environment by preventing accidents in areas with mine contamination, thus reducing potential negative environmental impacts.",2915,2019,italy,"Europe, regional / Capacity Support of Regional Cooperation in Mine Action - SEEMACC",,europe,europe,7838.6,7000.0,7838.6,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,False,True,False,False,False,False
"The project aims at developing criteria for training and implementation of mine action activities in the fields of humanitarian demining, mine victim assistance and mine risk education in the Western Balkans",0,0,0,0,no,"The project focuses on humanitarian demining, victim assistance and risk education in the Western Balkans. It does not have a direct impact on the environment, as its primary goal is to reduce the risk of accidents caused by mines and to support the affected population. However, the project may indirectly benefit the environment by preventing accidents in areas with mine contamination, thus reducing potential negative environmental impacts.",9158,2020,italy,"Europe, regional / Capacity Support of Regional Cooperation in Mine Action - SEEMACC",,europe,europe,3997.0,3500.0,3997.0,Committed,Oda,mitigation,Grant,Cross-cutting,False,False,False,False,False,False,True,False,False,False,False
"The overall objective of this project is to improve the housing conditions of the most vulnerable Palestinians refugees living in Hitteen camp. Through this project, around 500 targeted Palestinian refugees will benefit from the improved housing environment",0,0,0,0,no,"The project describes improvements in housing conditions, which is not directly related to the environment.",2936,2019,italy,Jordan / Housing rehabilitation in the Palestinian refugee camp of Hitteen,jordan,,asia,62932.76,56200.0,62932.76,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False
Creation of new dormitory structures with indoor bathrooms to prevent diseases and infections,0,0,0,0,no,"Dormitory structures with indoor bathrooms can help reduce the spread of diseases and infections, but it is not an environmental project. It is unrelated to environmental conservation, reduction of greenhouse gases, or sustainable use of natural resources.",2943,2019,italy,Kenya / Mochongoi Boys Dormitory - Fase 2,kenya,,africa,20156.4,18000.0,20156.4,Committed,Oda,adaptation,Grant,Water And Sanitation,True,False,False,False,False,False,False,False,False,False,False
"Due to the increased economic vulnerability, in 2018 the number of Syrian refugee in Lebanon who has moved to informal settlements has increased. In accordance with the LCRP, the Project provides immediate assistance to vulnerable refugees living in Informal Settlements through water trucking, desludging services and community mobilization for improved WASH behavior.",0,0,0,0,no,"The project provides assistance for water trucking and desludging services for refugees in Lebanon, thus is more focused on humanitarian aid than having a direct impact on the environment.",2950,2019,italy,Lebanon / Ensure children their family living in Informal Settlements access to the right to water and healthy environment,lebanon,,asia,1119800.0,1000000.0,1119800.0,Committed,Oda,cross-cutting,Grant,Water And Sanitation,False,False,False,False,False,True,False,False,False,False,False
"In accordance with the LCRP, the Project strengthens the resilience of PRS in Lebanon through cash assistance and an improved access to secondary health care services within a network of contracted hospitals (including public health facilities).",0,0,0,0,no,"The project improves access to healthcare services, no explicit environmental benefits are mentioned.",2951,2019,italy,Lebanon / Strengthening the resilience of Palestine Refugees from Syria in Lebanon through cash assistance and health services.,lebanon,,asia,335940.0,300000.0,335940.0,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False
