additional_information,action,environmental,id,year,reporting_party,recipient_country_region_project_programme,recipient,recipient_continent_or_region,assigned_geography,usd,euro,corrected_usd,status,funding_source,type_of_support,financial_instrument,sector,africa,latin_america_the_caribbean,north_america,middle_east,mediterranean,asia,europe,oceania,global,multicontinent_or_global,continent_unspecified,croatian_kuna,norwegian_krone,japanese_yen,danish_krone,british_pound,american_dollar,swiss_franc,australian_dollar,romanian_leu,swedish_krona,canadian_dollar,new_zealand_dollar,czech_koruna,bulgarian_lev,icelandic_krona,polish_zloty,hungarian_forint
" Indeed, archaeology can greatly benefit from reliable, radar-based non-destructive analysis to map areas and structures of interest present in the subsoil without the need for excavation. GPR scanning  will be conducted as preliminary investigation method for each sector to be studied in the Valley of the Kings. This will allow to create high definition digital radar maps representing the subsurface distribution and shape of the detected anomalies.Next, the EMI Survey will be repeated on the same area covered by GPR, in order to processconductivity maps. These will be used to produce a subsurface electro-stratigraphy and to perform a cross-check of the anomalies detected by the GPR. As fundamental preliminary phase, three local students will be selected and then trained on 3D Ground Penetrating Radar (GPR) and 3D Electrical Resistivity Tomography (E.R.T.) techniques.",0,1,39503,2017,italy,Egypt / The project concerns the application of state-of-the-art radar technologies for a completemapping of the Valley of the Kings in Luxor.,egypt,,africa,4509.58,4000.0,4509.58,Committed,ODA,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
" Installation of a solar energy unit and training of staff in maintaining the unit. The project also aims to sensibilize the students on the problem of climate change, renewable energies and sustainable development.",1,1,8899,2020,italy,Cameroon / Construction of a solar energy unit for the school for vocational training St. Francis Home for Skills Training (SAFRAHOST),cameroon,,africa,6404.34,5608.0,6404.34,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
" It aims at contributing in the improvement of livelihoods, food and nutrition security of the target population in Kassala State, especially for women and youth. By focusing on three strategic components (1. value-chain development and agriculture productivity improvement at the household level; 2. community participation in entrepreneurship development; and 3. access to finance through local microfinance institutions), the project plans to create sustainable job opportunities and foster inclusive economic growth in the project target areas. Over a time-span of 12 months, the project will benefit around 1,000 households and in particular small-scale farmers, micro-enterprises, women and young people by partnering with public institutions, local community-based organizations and the private sector.",1,0,39101,2017,italy,Sudan / Sudan - The project builds on the results and recommendations stemming from a FAO-UNIDO jointly implemented initiative between 2011 and 2014.,sudan,,africa,248027.06,220000.0,248027.06,Committed,ODA,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
" It aims to bring the challenge within the core of urban municipalities by directly and indirectly training professionals and officers to shape resilient policies. It is based on the interaction among different disciplines (spatial planning, environment, engineering, …) and foster collaboration with research, policy making and professionals.",1,1,39307,2017,italy,Latin America and the Caribbean / The project aims to challenge the wide issues tackled by resilience to climate change at urban level by promoting HEI staff’s and students’ interdisciplinary skills through the development of innovative educational approaches to planning.,,"america, latin america and the caribbean",latin america and the caribbean,19894.13,17646.09,19894.13,Committed,ODA,cross-cutting,Grant,Other (Urban development and management),False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
" It intends to promote preventive actions to irregular migration in identified areas with a high incidence of it. Primary actions will facilitate access to alternative forms of subsistence at points of departure and an increased number of job opportunities specifically targeted to youth and rreturnees. The project also aims at improving living conditions of migration process’s most vulnerable categories by ensuring protection and assistance to vulnerable and stranded migrants and returnees. In addition, the initiative plans to put in place an accurate awareness raising campaigns and a reliable collecting data on migration.The Initiative will focus its intervention in Senegal, Mali, Guinea, Guinea Bissau and Gambia. The projects within the framework of the Initiative can  be both:  single country or multi- countries (transboundary)",1,0,39031,2017,italy,"Other (South of Sahara) / The multi-sectorial initiative aims at mitigate the root causes of the irregular migration at regional level through specific intervention on local development, training, job creation and resilience reinforcement .","gambia, mali, senegal",,africa,1352874.86,1200000.0,1352874.86,Committed,ODA,adaptation,Grant,Other (Emergency response),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
 It is proposed that approximately 250 farmers (50% women) be trained in self-employment to facilitate entry into the market and improve their living conditions. Training courses in agricultural techniques will also be started to improve production. A credit fund is available which will be made available to young people to start business activities.,1,0,39123,2017,italy,"Ecuador / Project for the integral development of indigenous, peasants and Afro-descendant communities of Ecuador.",ecuador,,latin america and the caribbean,172572.72,153072.0,172572.72,Committed,ODA,cross-cutting,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
 It will take into account the Italian Cooperation Law n. 125/2014 and the SDGs.,0,1,39130,2017,italy,"Kenya / The project will support the implementation of the initiatives funded by AICS in Kenya, Uganda and Tanzania, mainstreaming the principle fro effective development cooperation endorsed a global level, lastly at the HLM2 in Nairobi.","kenya, tanzania, uganda",,africa,144306.65,128000.0,144306.65,Committed,ODA,cross-cutting,Grant,Not applicable,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
" Moreover, project partners will determine the most appropriate locations for new landfills and scheme for collection and safe disposal of C&D waste. They will also carry out the analysis of chemical compounds in C&D waste, separation of wastes according to relevant treatment option (re-use, recycle, incinerate or disposal). ",1,1,39358,2017,italy,"Former Yugoslav Republic of Macedonia / The project aims at mapping-to determine all C&D waste sites in the Skopje planning region, GPS coordinates, area (m2) amounts (m3), risk categorisation and associated costs for closure/sanitation.",north macedonia,,europe,13921.08,12348.0,13921.08,Committed,ODA,cross-cutting,Grant,Water and sanitation,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,
" Objectives of the project are the strengthening of the capacities of the communities of active citizenship and the local and regional actors in methodologies and techniques for the development, the enhancement of the identity and culture of the communities, the improvement of economic activities in the rural sector of agricultural tourism and crafts",1,0,39122,2017,italy,"Argentina / Project for the promotion of eco-sustainable tourism to improve the living conditions of the population, in 7 regions of the north-west of the country on the territory of 4 dioceses.",argentina,,latin america and the caribbean,175296.96,155488.4,175296.96,Committed,ODA,cross-cutting,Grant,Other (Tourism),False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
 Project of agricultural and rural development training,0,0,40591,2016,italy,Colombia / Colombia / America (South America) /  Project of agricultural and rural development training,colombia,,latin america and the caribbean,104946.37,94903.0,104946.37,Committed,ODA,cross-cutting,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
 Promoting gender-sensitive and sustainable rural development to ensure food security and resilience of vulnerable communities in the West Bank. Activities to improve beneficiaries' capacities regarding the improvement of preventive animal health and the sustainability of small ruminant farming; Activities to increase the quality and availability of veterinary services,1,1,9809,2020,italy,West Bank and Gaza Strip / Beyond barriers. Promoting gender-sensitive and sustainable rural development,,asia,asia,27731.19,24283.0,27731.19,Committed,Oda,adaptation,Grant,Agriculture,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
 Rice and Kitchen Gardens: policies for co-development. The project has a development strategy aimed at achieving food self-sufficiency in local communities of  Koubalan and Kondokhou  strengthening the supply chain of the rice and the vegetable.,1,0,40262,2016,italy,"Senegal / Senegal / Africa (South of Sahara) / Sustainable Agriculture and Biodiversity: Rice and Kitchen Gardens, co-development practices",senegal,,africa,4423.31,4000.0,4423.31,Committed,ODA,adaptation,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
 Some Cuban experts visited the CIMA Foundation and talked about possible synergies.,1,0,39574,2017,italy,Cuba / CIMA Foundation has maintained contacts with the Agencia de Medio Ambiente of Cuba. Agencia is currently developing a platform of similar characteristics to DEWETRA.,cuba,,latin america and the caribbean,901.92,800.0,901.92,Committed,ODA,adaptation,Grant,Other (Disaster prevention and preparedness),False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
" Specific objective: increase of the quality of the health services of proximity through training activities and strengthening of the skills of social and health personnel, actions to raise awareness of the population of health and hygiene issues, infrastructural interventions to provide local health centers with electricity and a cold system for medicines.",1,0,39543,2017,italy,Chad / General objective: reduction of infant and maternal mortality and improvement of the health conditions of the rural population.,chad,,africa,2029.31,1800.0,2029.31,Committed,ODA,mitigation,Grant,Energy,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
" Specifically, 36 adults will be involved who will receive specific training, 20 local forest conservation committees will be created, 6 sensitive and particularly degraded areas will be identified in which reforestation activities will be carried out.",1,1,39306,2017,italy,Guinea / Project for the formation of the population on the importance of the environment in the Diocese of Kankan.,guinea,,africa,20110.94,17838.4,20110.94,Committed,ODA,mitigation,Grant,Other (Biodiversity),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
" Specifically, provide the community with the opportunity to have a good service of drinking water and strengthen the bonds of the families of the Caundy community, involved in the realization of this project (110 families 660 people in the district)",1,1,39253,2017,italy,"Paraguay / The Jose Cardijn Foundation presents the project to support and improve the conditions and quality of families in the Felix Perez Cardozo District, Compania Caundy.",paraguay,,latin america and the caribbean,36653.44,32511.6,36653.44,Committed,ODA,cross-cutting,Grant,Water and sanitation,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
" The Project will be focused on improving production and marketing of agriculture high value-chain, such as saffron, dairy products, horticulture products and possibly other products chosen by the beneficiaries at community level. The project will facilitate the small agroproducers to establish Common Interest Groups (CIG) with a view to improve economies of scale and market linkages with the private sector aimed at the commercialization of high value chain products.

The project is targeting a total of approximately 5,000 farming direct beneficiaries, which implies approximately 30,000 indirect beneficiaries (average of 6 members per family). The priority of high value chain products is within the “National Comprehensive Agriculture Development Priority Program” of Agriculture and Rural Development cluster and it was discussed at the conference in Brussels on 5th October 2016. The Project is in line with the Sustainable Development Goals 1 and 2, UN 2015-2030.",1,0,39187,2017,italy,"Afghanistan / The Project aims to improve agricultural production, productivity and marketing of small agro-producers in the two provinces of Herat and Bamyan in Afghanistan through the provision of agriculture services and inputs adopting a decentralized “Extension system” mechanism applied by MAIL at Provincial and District level.",afghanistan,,asia,76239.01,67624.0,76239.01,Committed,ODA,mitigation,Grant,Agriculture,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
" The affected families are about 1450 of the Palakkad district in Kerala. The objectives of the project are: to teach how to prevent diseases, the production of foods without toxins, not contaminated by pesticides through natural and organic agriculture, the strengthening of a consumption of local products (0 km would say in the west), finally the creation of a biological nutritional garden.",1,1,39387,2017,italy,India / Support for the agricultural activities of the population of the new Diocese of Sultanpet Palakkad.,india,,asia,12910.03,11451.2,12910.03,Committed,ODA,mitigation,Grant,Agriculture,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
" The aim is to improve and increase the skills of young rural trainers for the promotion, negotiation and relations with public and private institutions that deal with the development of young people, through three training phases for a total period of 18 months ( 6 for the first phase, 8 for the second and 4 for the third).",1,0,39325,2017,italy,"Chile / Project for the training of youth trainers from the rural areas of the four Dioceses of Chile involved in the project (San Felipe, Melipilla, Rancagua and Linares).",chile,,latin america and the caribbean,17257.72,15307.6,17257.72,Committed,ODA,cross-cutting,Grant,Other (Rural development),False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
" The aim of this project implemented by UNOPS, is to support Libyan authorities in improving the hygienic and environmental conditions of Tripoli’s population through a more efficient solid waste management system.",1,1,39050,2017,italy,"Libya / The persistence of the humanitarian crisis in Libya has severely undermined the local authorities’ capacities to collect and manage waste, causing a deterioration of the hygienic conditions of the population.",libya,,africa,901916.57,800000.0,901916.57,Committed,ODA,cross-cutting,Grant,Water and sanitation,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
" The building will be able to protect the 425 students who take advantage of the playing space from solar irradiation, as well as guaranteeing the construction of a court that can be used for multi-purpose uses.",0,1,1585,2018,italy,Ecuador / Project for the construction of a roof covering for the sports field belonging to the college of Our Lady of the Rosary.,ecuador,,latin america and the caribbean,81602.13,69117.0,81602.13,Committed,ODA,mitigation,Grant,Other (Government and civil society),False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
" The creation of models will be the task of schools, with exercises and planting of small plants.",1,0,1638,2018,italy,"Somalia / The project allows refugees in 4 camps close to the Ayuub village for orphans in the Merca area of Somalia to support themselves, at least in part, by expanding cultivation of Prosopis juliflora, which produces grazing and fodder, creating models for the rearing of goats.",somalia,,africa,56073.67,47494.4,56073.67,Committed,ODA,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
" The direct beneficiaries of the project will be over 50,000 people in 8 villages receiving less than 500 mm of rain per year.",1,1,39142,2017,italy,"Tanzania / The project involves the implementation of a series of activities such as well drilling, drip irrigation and capacity building for farmers in the Konda area.",tanzania,,africa,124966.18,110845.0,124966.18,Committed,ODA,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
" The families involved are in situations of extreme poverty and their main source of income is the breeding of alpacas and sheep. We want to improve the breeding techniques of these animals, halving the times of production processes and improving the techniques of trade.",1,0,39147,2017,italy,Peru / Project for the implementation of a series of training and awareness activities aimed at improving the quality of life of families of sheep farmers in the Altoandine communities.,peru,,latin america and the caribbean,118798.2,105374.0,118798.2,Committed,ODA,cross-cutting,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
 The goal is to improve the sanitary conditions of the local population and raise awareness on the use of drinking water and the observance of sanitary norms. Each site will be able to make 1500 liters of water a day.,1,1,39127,2017,italy,"Cameroon / The project provides for the installation of water purification machinery in various sites: 2 schools, hospital and city center.",cameroon,,africa,153981.51,136581.6,153981.51,Committed,ODA,cross-cutting,Grant,Water and sanitation,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
" The goal is to increase and promote the food and economic autonomy of the population, through techniques of cultivation and breeding of local products to be implanted on the territory by creating a marketing network, the construction of a seedling, a pigsty, for the purchase of equipment and seeds and for the development of a dense program of workshops and training meetings.",1,0,39166,2017,italy,Colombia / The project is aimed at the Nasa population living in the three districts of the Municipality of Toribio and the students of the Agroecological school of CEDIC.,colombia,,latin america and the caribbean,102329.2,90766.0,102329.2,Committed,ODA,cross-cutting,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
" The initiative will promote the improvement of the life conditions of the Eritrean refugees, women in particular, living in the camps and hosting community in the Tigray Region (Shire Area) by providing reception and protection support, qualityhealth and education services, livelihood opportunities and assistance.",1,0,39042,2017,italy,Ethiopia / The initiative aims to contribute torespond to the current humanitarian crisis caused by the huge outward migration of Eritrean refugees from Ethiopia and the constant influx of asylum seekers from Eritrea.,"ethiopia, eritrea",,africa,901916.57,800000.0,901916.57,Committed,ODA,cross-cutting,Grant,Other (Emergency response),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
" The initiative, financed by the Italian Cooperation with a grant of Euro 0,5 MM and a duration of 18 months is executed by the CNRS, in collaboration with other competent local authorities. The objective is to sustain and enhance the mechanism of adaptation towards shocks induced on the WEF Nexus by Climate Change. The expected results are the following: Strategic action plan for the Water Food Nexus (WEF) implemented Innovative services for the promotion of adaptation capacities defined Best practices in the sector promoted Network between local and international experts created.",1,1,39157,2017,italy,Lebanon / The project foresees the enhancement of the cooperation between public and private stakeholders in the management of natural resources in order to elaborate an adaptation strategy for Climate Change and to improve the capacities for local resilience with innovative approaches.,lebanon,,asia,112739.57,100000.0,112739.57,Committed,ODA,cross-cutting,Grant,Other (Environmental policy and administrative management),False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
 The local catholic mission will grant use of some of its buildings as storing and processing sites and as laboratories for training classes. ,1,0,39444,2017,italy,"Democratic Republic of the Congo / The project’s objectives are: training villagers on the best agricultural and  breeding practices and helping create rural cooperatives supported by micro-financing, with special focus on women; starting up a fish breeding plant; building cattlesheds and henhouses; purchasing farm animals, seeds, horticultural tools and plants.",congo,,africa,9019.17,8000.0,9019.17,Committed,ODA,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
" The main objective was to contribute to the support of the families in the Southern region of the country, where great damages to land and homes were registered. In order to reach the goal: (i) seeds were given to a number of farmers; (ii) different materials were provided to families to rebuild their homes.",1,0,39545,2017,italy,Haiti / The project  was developed in order to respond efficiently to the needs of the Haitian population after Hurricane Matthew hit the island in 2016.,haiti,,latin america and the caribbean,1803.83,1600.0,1803.83,Committed,ODA,cross-cutting,Grant,Other (Education post-secondary),False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
 The meetings will also be accompanied by assembly moments to raise awareness among rural entrepreneurs about the opportunity to network to be more effective on the market.,1,0,39231,2017,italy,Albania / The project involves a series of training activities to improve production conditions and access to the market for 10 rural businesses.,albania,,europe,46189.4,40970.0,46189.4,Committed,ODA,cross-cutting,Grant,Agriculture,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,
" The program is in turn aimed at the realization of single action-projects, which promote - inter alia - the dissemination of operational modes and methods devised within the framework of a 'Multi-Stakeholder Platform for Renewable Energy', promoting renewable energies and sustainable development investments in partner Countries. The methodology and the project cycle features and tools are discussed and illustrated in the document ‘Draft guidelines for projects in Energy & Development’ - Version 2.1 – English, 35 pp., third peer review version, produced and proposed by the Italian ‘Multi-Stakeholder Platform for Renewable Energy' , and edited and adopted by Italy’s Agency for development Cooperation (AICS) and the Directorate General for Development Cooperation of Italy’s Ministry of Foreign Affairs and International Cooperation (MAECI DGCS). A TF Agreement with the World bank Energy Sector Management Assistance program (ESMAP) is foreseen (attached), with associated Tors.",1,1,39144,2017,italy,"Other (Developing countries) / Project M&E scheme, structure and financing, attached to a bilateral fund in support to a wide, environmentally-sound, energy and education sector program.",,developing countries,continent_unspecified,124013.53,110000.0,124013.53,Committed,ODA,mitigation,Grant,Energy,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,
" The program will focus its interventions in Diffa Region (Niger), Borno State (Nigeria), North Camerun and Lac region (Ciad)",1,0,39028,2017,italy,"Other (South of Sahara) / The Program aims at providing assistance to refugees, IDPs, returnee populations and hosting communities affected by Boko Haram terrorist group and by adverse climatic events in order to improve their living conditions, strengthening their resilience, food security and nutrition, and access to protection, education and health services.","niger, nigeria",,africa,1488162.34,1320000.0,1488162.34,Committed,ODA,adaptation,Grant,Other (Emergency response),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
 The project deals with know-how exchange from the Italian Regulatory Authority for Energy to Western Balkans Counterparts to get prepared to EU energy market integration and to foster the transposition and implementation of the related EU regulations,1,1,2914,2019,italy,"Europe, regional / CEI support for strengthening Energy Regulatory Authorities in the Western Balkans - Third phase",,europe,europe,17883.21,15970.0,17883.21,Committed,Oda,cross-cutting,Grant,Energy,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,
" The project involves the breeding of poultry, pigs and the construction of a stable, the construction of a tank for the cultivation of local fish 'mudfish', the marketing of products through the purchase of a truck, microcredit, the installation of panels solar for the production of electricity for families but also for water systems, purchase of pumps and a cistern for irrigation water system, cultivation of corn, cassava, fruit, vegetables and legumes and construction of a warehouse for storage",1,1,39098,2017,italy,"Cameroon / Agri-food project for families living in the hilly area of Mambo, without light and water.",cameroon,,africa,267817.36,237554.0,267817.36,Committed,ODA,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
" The project involves the equipment of the Medical Centre Maria Elisa Andreoli of Abidjan Riviera Palmeraie, to allow even the poorest to receive health care.",1,0,8967,2020,italy,Côte D'ivoire / Equipment of the ecodoppler laboratory for the Maria Elisa Andreoli medical center in Abidjan,côte d'ivoire,,africa,19543.27,17113.2,19543.27,Committed,Oda,adaptation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
" The project involves the purchase of 200 chairs, 6 tables and 6 chairs for teachers, as well as the preparation of a multipurpose room, a teacher's office and an anti-disaster shelter.",1,0,39205,2017,italy,"Philippines / Renovation of an orphanage where to set up a basic elementary school for about 200 handicapped and orphaned children, even abandoned, and children victims of typhoons and the frequent calamities of this area.",philippines,,asia,63387.6,56224.8,63387.6,Committed,ODA,cross-cutting,Grant,Other (Education unspecified),False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
 The project involves the reforestation of 230 hectares of land and the supply of various types of seeds.,1,1,39103,2017,italy,"Burundi / The project is presented by a local association, ARAME, which promotes projects for an eco-sustainable agriculture in the RUVUBU national park in the north of Burundi.",burundi,,africa,243814.66,216263.6,243814.66,Committed,ODA,mitigation,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
" The project is aimed at ensuring clean, sustainable, modern and affordable energy for the urban area of Kahale, Lebanon to foster socioeconomic development, to guarantee sustainable pattern of production and consumption and to combact climate change and its consequences.",1,1,9353,2020,italy,Lebanon / AICS – AID 10946/VIDES/LIBANO Clean energy and sustainable development in the municipality of Kahale Lebanon,lebanon,,asia,12468.36,10918.0,12468.36,Committed,Oda,cross-cutting,Grant,Energy,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
