additional_information,action,environmental,id,year,reporting_party,recipient_country_region_project_programme,recipient,recipient_continent_or_region,assigned_geography,usd,euro,corrected_usd,status,funding_source,type_of_support,financial_instrument,sector,africa,latin_america_the_caribbean,north_america,middle_east,mediterranean,asia,europe,oceania,global,multicontinent_or_global,continent_unspecified,croatian_kuna,norwegian_krone,japanese_yen,danish_krone,british_pound,american_dollar,swiss_franc,australian_dollar,romanian_leu,swedish_krona,canadian_dollar,new_zealand_dollar,czech_koruna,bulgarian_lev,icelandic_krona,polish_zloty,hungarian_forint
"A support to small farmers to foster their aggregation and retraining in production, management and trade. The objectives consist of: to improve the quality and productivity of the product, to complete the production chain,  to sell the finished product in the local and international markets in order to have a higher profit margin. ",1,0,40290,2016,italy,Jordan / Jordan / Asia (Middle East Asia) / Network for sustainable development and production as well as commercial innovation of Aloe Vera producers,jordan,,asia,265222.82,239841.0,265222.82,Committed,ODA,cross-cutting,Grant,Agriculture,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
AICS financial support to Civil Society Organizations (CSOs) to ensure the continuation of the activities and the achievement of the expected results of ongoing  global citizenship education projects ( carried out in Italy) during the COVID-19 emergency,1,0,9041,2020,italy,"Developing countries, unspecified / Covid-fund for ongoing projects",,"developing countries, unspecified",continent_unspecified,229772.04,201201.44,229772.04,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,
"AICS financial support to Civil Society Organizations (OSC) to ensure the continuation of activities and the achievement of the expected results of the ongoing Syrian refugee projects (carried out in Jordan, Lebanon and Egypt) during the COVID-19 emergenc",1,0,9706,2020,italy,Syrian Arab Republic / Covid-fund for ongoing Syrian refugees projects,syrian arab republic,,asia,99964.47,87534.56,99964.47,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
ASSISTANCE TO THE JOINT TECHICAL UNIT FOR THE IMPLEMENTATION OF THE DEBT CONVERSION INITIATIVE,0,0,40053,2016,italy,Pakistan / Pakistan / Asia (South & Central Asia) / Experts fund-contribution for the set up the technical support unit for the debt conversion - expert fund,pakistan,,asia,835.36,755.42,835.36,Committed,ODA,cross-cutting,Grant,Other (Government and civil society general),False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
ASSISTANCE TO THE JOINT TECHNICAL OF THE DEBT CONVERSATION INITIATIVE,0,0,40052,2016,italy,Pakistan / Pakistan / Asia (South & Central Asia) / Local fund-contribution for set up of technical support unit for the debt conversion initiative,pakistan,,asia,36584.77,33083.6,36584.77,Committed,ODA,cross-cutting,Grant,Other (Government and civil society general),False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
Access to basic care for plantation workers and inhabitants of rural islands and villages in Kawthaung district in southern Myanmar.,0,0,9487,2020,italy,Myanmar / Plantation empowerment: strengthening the rural health care system for immigrant populations,myanmar,,asia,22803.46,19968.0,22803.46,Committed,Oda,mitigation,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Access to drinking water, equipment and tools for shoemakers, farmers, laborers, laundresses and advanced training for 150 young people",1,0,40616,2016,italy,India / India / Asia (South & Central Asia) / Multipurpose Social Service Society - PMSSS,india,,asia,16808.58,15200.0,16808.58,Committed,ODA,cross-cutting,Grant,Other (Rural Development),False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Accommodation of the road section from Tome-Gateau to Beausejour, arrangement of channels and reforestation",0,0,40376,2016,italy,"Haiti / Haiti / America (North & Central America) / Accommodation of the road section from Tome-Gateau to Beausejour, arrangement of channels and reforestation",haiti,,latin america and the caribbean,106904.79,96674.0,106904.79,Committed,ODA,cross-cutting,Grant,Transport,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Accompaniment of nutritional recovery centers,0,0,40661,2016,italy,Guinea-Bissau / Guinea-Bissau / Africa (South of Sahara) / Accompaniment of nutritional recovery centers,guinea-bissau,,africa,3776.18,3414.8,3776.18,Committed,ODA,cross-cutting,Grant,Other (Health Basic),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Action to address priority areas of """"Migration and Development"""" and """"Local Economic Development, in particular SMEs"""" through the promotion of Senegal's local economic system, addressing the root causes of migration through the involvement of women, young ",1,0,9618,2020,italy,Senegal / Migration and inclusive business in Senegal,senegal,,africa,107956.54,94532.87,107956.54,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Actions aimed at gathering together in an international conference peace and human rights advocates.,1,0,9671,2020,italy,"South Asia, regional / Reclaiming Peace for Life as a South-led Movement for Just Peace",,asia,asia,6852.0,6000.0,6852.0,Committed,Oda,mitigation,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Actions in the field of health: organization of courses on health, nutrition and creation of natural products, creation of a Solidarity Workshop. ",1,0,39340,2017,italy,"Venezuela / Implementation of horticulture courses and realization of: community / family organic gardens, composting areas, a ""seed bank"" and a lombricoltore.  ",venezuela,,latin america and the caribbean,16219.84,14387.0,16219.84,Committed,ODA,cross-cutting,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Actions of prevention and nutrition education in the territory served by the Oasis Center, a rehabilitation center and nutrition education.",0,0,40666,2016,italy,"Burkina Faso / Burkina Faso / Africa (South of Sahara) / Cren, a second chance",burkina faso,,africa,4423.31,4000.0,4423.31,Committed,ODA,cross-cutting,Grant,Other (Health Basic),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Activating reconciliation paths, restorative justice and social reintegration of women and men who have served long prison sentences.",1,0,9593,2020,italy,Rwanda / Prison  Outreach Programme,rwanda,,africa,7400.16,6480.0,7400.16,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
Activities addressed to  Cambodian women and fragile families,0,0,2844,2019,italy,"Cambodia / Health And Hygiene In Cambodia, Actions In Favor Of Cambodian Women And fragile Families",cambodia,,asia,13189.45,11778.4,13189.45,Committed,Oda,cross-cutting,Grant,Water And Sanitation,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"Activities in support of agriculture, training, in Jenipapo, municipality of Sapeaçu - Bahia State",0,0,2803,2019,italy,"Brazil / Activities in support of agriculture, training, in Jenipapo, municipality of Sapeaçu - Bahia State",brazil,,latin america and the caribbean,21276.2,19000.0,21276.2,Committed,Oda,cross-cutting,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
